Flight date,Arrival date,Day of week,Origin,Destination,Aircraft fleet type,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Converted to Gallons,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator,Carbon
1/1/2022,1/1/2022,Saturday,HKG,ICN,B747-8F,131,131,189,201,196,168,159,20,26,22,4300,7,7,15,220800Z,9900,30,119000,119000,17850,114700,68300,61600,47100,53100,RKPC,None,51,20300,316,204400,278000,276300,816200,814900,0,0,1000,CDL 32-10-1 EXTRA FUEL FOR EXPECTED TAXI DELAYS,0,0,0,700,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,400,-400,68164,FALSE,null,12008KT 9999 FEW014 BKN055 00/M03 Q1025 NOSIG,FALSE,
1/31/2022,1/31/2022,Monday,HKG,ICN,MD11-GE,135,135,198,195,178,169,155,21,19,15,1000,8,7,8,130600Z,10100,38,92800,93000,13950,92000,53100,49600,36900,42400,RKPC,None,50,14600,289,1,180000,179800,531300,530200,0,0,0,CDL 52-40-05: 1900 LBS ENRT WGT PENALTY; AERODATA APPLIED CDL 49-17-12: 80 LBS ENRT WGT PENALTY; AERODATA APPLIED CDL 49-17-13: 1300 LBS ENRT WGT PENALTY; AERODATA APPLIED 10 MINS ADDTL FUEL FOR WX AT DEST,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,53080,TRUE,null,29002KT 7000 -SN BKN003 BKN030 OVC070 00/M00 Q1022 NOSIG,TRUE,
4/16/2022,4/17/2022,Saturday,HKG,ICN,B747-400SF,142,142,197,220,199,179,172,19,26,14,900,9,15,13,145200Z,8300,40,93900,94200,14130,93300,54300,47600,35300,45700,RKPC,None,54,16000,309,1,0,0,451800,447200,0,0,0,MEL: 22-00-2-ACI MEL: 22-00-00-ACI CAT DOWNGRADE: CAT I 13 MINS ADDTL FUEL FOR DEST TRAFFIC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,54300,FALSE,null,24007KT CAVOK 11/05 Q1019 NOSIG,FALSE,
4/12/2022,4/13/2022,Tuesday,HKG,ICN,B747-8F,107,107,204,203,197,170,169,19,26,22,500,8,7,6,022600Z,11700,43,90700,90800,13620,90300,56300,54300,30800,36000,RKSS,None,17,6100,63,204400,122000,121300,632000,632000,0,0,0,15 MIN ADDTL FUEL FOR ARRIVAL WX CDL 27-11-1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,56258,FALSE,null,04014KT 020V080 9999 BKN025 OVC100 13/08 Q1014 NOSIG,FALSE,
6/25/2022,6/26/2022,Saturday,HKG,ICN,B747-8F,138,138,196,233,212,192,192,19,26,11,0,8,15,9,145000Z,10100,40,103100,103300,15495,103300,60300,56700,39200,46700,RKPC,None,48,16300,287,74000,70000,62900,592800,585600,0,0,0,ADDTL FUEL - DEST WX,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,59874,FALSE,null,19012KT 9999 -RA VCTS BKN014 BKN025 OVC080 25/23 Q1010 NOSIG RMK CB SW APCH STN,FALSE,
10/2/2021,10/3/2021,Saturday,HKG,ICN,B767-300W,83,83,213,222,213,196,191,16,19,19,600,8,7,3,003100Z,3000,20,51900,56000,8400,55400,36000,36400,14200,19000,RKSS,None,14,2700,45,1,120000,119500,352400,356000,0,0,0,ADDTL: ATC,0,450,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,400,-500,35950,FALSE,null,15010KT 6000 FEW020 SCT200 22/19 Q1020 NOSIG,FALSE,
2/1/2022,2/1/2022,Tuesday,HKG,ICN,B747-8F,110,110,189,198,183,165,155,20,26,19,1500,7,7,9,120300Z,14300,44,108800,109100,16365,107600,66700,61500,38400,46100,RKSS,None,20,7600,76,1,278000,276400,806000,805400,0,0,0,CDL 32-10-1: ENRT WGT LIMITED BY 455LBS; AERODATA APPLIED 15 MINS ADDTL FUEL FOR WX AT DEST,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-400,66572,TRUE,null,32010KT 9000 BKN021 M02/M06 Q1028 NOSIG,FALSE,
3/1/2022,3/1/2022,Tuesday,HKG,ICN,MD11-GE,121,121,198,201,186,175,164,21,19,12,2000,8,7,10,095700Z,8200,45,68900,69000,10350,67000,42900,36800,23300,30200,RKSS,None,20,4200,76,134550,50000,43800,372800,365400,0,0,1500,EXTRA TAXI CDL 49-17-12 CDL 49-17-13 MEL 34-54-1-0-2,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,300,-300,42528,FALSE,null,30012KT CAVOK 03/M04 Q1016 NOSIG,FALSE,
3/21/2022,3/21/2022,Monday,HKG,ICN,MD11-GE,102,102,198,206,189,180,168,21,19,13,1600,8,7,8,160300Z,13500,52,85000,85400,12810,83800,55700,52000,26500,31800,0,None,0,0,0,184000,185000,184200,525800,525600,0,0,500,- CDL 49-17-12 CDL 49-17-13 AERODATA APPLIED - 25 MIN ADDTL FOR ENROUTE WX & DESTINATION ATC EXTRA FUEL HKG TAXI,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,55620,TRUE,null,32006KT CAVOK 04/M01 Q1023 NOSIG,FALSE,
5/14/2022,5/15/2022,Saturday,HKG,ICN,B747-400F,92,92,205,206,195,173,168,19,26,18,1600,9,7,9,151800Z,8900,45,74500,74900,11235,73300,50700,45600,19500,27700,0,None,0,0,0,180600,100,0,423400,419600,0,0,0,- CDL27-51-1 APPLIED / +1.5% TOF ADDED -,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,50694,FALSE,null,25005KT 220V300 CAVOK 13/07 Q1014 NOSIG,FALSE,
