Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator
2022-01-20,2022-01-20,UPS0076,Thursday,SDF,DXB,B747-8F,N615UP,127,127,809,818,818,789,790,24,24,12,700,5,5,16,231800Z,11200,40,324700,324800,324100,283500,270700,37900,53400,OMDW,None,27,9500,122,159000,150000,119000,894300,865100,0,0,900,- 10MIN ADDL FUEL FOR ATC EXTRA FUEL FOR DEICE / REDISPATCH PLS CTC FLT CTL W/IN 2 HRS OF WYPT LUPAL FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,true,1300,-1300,275440,false,null,30020KT 9999 FEW045 21/07 Q1016 TEMPO 30020G30KT,false
2021-07-16,2021-07-16,UPS0076,Friday,SDF,DXB,B747-8F,N612UP,132,132,815,865,858,836,829,24,24,23,0,5,5,6,224300Z,7700,27,367100,367000,367000,321500,312700,42300,52600,OOMS,None,40,15200,217,149000,155000,127000,942200,915100,0,0,700,ADDL FUEL FOR ATC 15 MIN XTRA FUEL FOR APU/TAXI OPS LIMITING MEL: 53-12-1 RAIM CHECK: OK PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF ABKON FOR REDISPATCH.,0,0,0,0,false,false,false,false,false,true,1400,-1400,313660,false,null,09011KT CAVOK 33/24 Q0998 NOSIG,false
2021-07-21,2021-07-21,UPS0076,Wednesday,SDF,DXB,B747-8F,N610UP,110,110,815,853,852,824,826,24,24,10,0,5,5,16,224300Z,6900,24,361100,360500,360500,323600,303100,34200,57100,OMSJ,None,13,4900,40,141000,155000,120200,935900,902200,0,0,800,PLANNED WITH 1.8% INC FUEL BURN FOR PERISHABLES 19 MIN ADDTL FUEL FOR TRAFFIC EXPECT ROUTE DEVIATIONS BETWEEN DBA/FYM IN HECC FIR EXTRA FUEL: TAXI DELAYS PLS CONTACT FLT CONTROL 2 HOUR PRIOR TO OBETO FOR REDISPATCH,0,0,0,0,false,false,false,false,false,true,1400,-1400,313856,false,null,19012KT CAVOK 34/20 Q0997 NOSIG,false
2021-07-23,2021-07-23,UPS0076,Friday,SDF,DXB,B747-8F,N623UP,102,102,815,823,814,794,785,24,24,25,0,5,5,4,221800Z,8400,30,328400,328400,328400,293400,275700,31700,50900,OMSJ,None,13,4700,40,148000,150000,100500,898100,849100,0,0,700,- 10MIN ADDL FUEL FOR ATC EXTRA FUEL FOR TAXI/REDISPATCH PLS CTC FLT CTL W/IN 2 HRS OF WYPT BELIX FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,true,1300,-1300,280530,false,null,22004KT 8000 NSC 37/21 Q0994 NOSIG,false
2021-07-22,2021-07-22,UPS0076,Thursday,SDF,DXB,B747-8F,N617UP,109,109,815,826,839,797,804,24,24,20,0,5,5,15,222500Z,8300,30,344500,344700,344700,306900,283900,34200,59200,OMSJ,None,13,4700,40,146000,150000,98100,914300,863800,0,0,900,- 15MIN ADDL FUEL FOR ATC EXTRA FUEL FOR TAXI/REDISPATCH PLS CTC FLT CTL W/IN 2 HRS OF WYPT ALG FOR REDISP RAIM CHECK OK -,0,0,0,0,false,false,false,false,false,true,1200,-1300,293406,false,null,VRB02KT CAVOK 36/23 Q0994 NOSIG,false
2021-07-24,2021-07-24,UPS0076,Saturday,SDF,DXB,B747-8F,N620UP,129,129,815,838,823,809,802,24,24,12,0,5,5,9,222500Z,9200,33,346500,346300,346300,303900,284700,39400,60600,OMDW,None,32,11200,148,142000,145000,104200,911100,871300,0,0,700,ADDL FUEL FOR ATC 20 MIN XTRA FUEL FOR APU/TAXI RAIM CHECK: OK PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF ABKON FOR REDISPATCH.,0,0,0,0,false,false,false,false,false,true,1400,-1300,293292,false,null,12004KT 090V150 7000 NSC 36/22 Q0996 NOSIG,false
2021-07-27,2021-07-27,UPS0076,Tuesday,SDF,DXB,B747-400SF,N579UP,87,87,823,867,846,838,821,25,24,19,0,12,5,6,235200Z,2500,10,340900,348300,348300,312100,316100,24900,30100,OMSJ,None,12,4600,40,108000,102500,114000,801600,827800,0,0,0,!!!CONTACT FLIGHT CONTROL 2 HRS PRIOR TO ALG FOR REDISPATCH TO OMDB!!! RAIM CHECK:OK,0,0,0,0,false,false,false,false,false,false,1800,-1800,316240,false,null,17004KT 8000 NSC 35/22 Q0991 NOSIG,false
2021-10-13,2021-10-13,UPS0076,Wednesday,SDF,DXB,B747-8F,N611UP,111,111,815,854,850,825,810,24,24,40,3500,5,5,0,230000Z,11200,39,360400,360900,357400,322200,309500,34900,47900,OMSJ,None,13,4900,40,164000,175000,156200,955200,937700,0,0,1000,20MINS ADDL FUEL FOR ENRTE ATC EXTRA FUEL FOR EXPECTED TAXI DELAYS RAIM CHECK OK PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF BELIX FOR REDISPATCH TO OMDB,0,0,0,200,false,false,false,false,false,true,1300,-1300,317312,false,null,10005KT 060V130 CAVOK 29/23 Q1010 NOSIG,false
2021-08-25,2021-08-25,UPS0076,Wednesday,SDF,DXB,B747-8F,N622UP,128,128,815,838,839,809,814,24,24,16,400,5,5,9,222600Z,5600,20,354900,355200,354800,310600,296600,41000,58200,OOMS,None,41,15200,238,138000,150000,117600,924400,893500,0,0,1100,CTC FLT CTL UP TO 2HRS PRIOR TO ALG FOR RE-DISPATCH. RAIM CHECK OK. 5 MIN ADDTL FUEL FOR ARRIVAL DELAYS DUE TO ATC EXTRA FUEL FOR EXPECTED TAXI DELAYS,0,0,0,0,true,false,true,false,false,false,1300,-1300,302176,false,null,13007KT 8000 NSC 34/28 Q0999 NOSIG,false
2021-08-14,2021-08-15,UPS0076,Saturday,SDF,DXB,B747-400F,N577UP,110,110,823,879,902,850,857,25,24,25,0,12,5,20,000300Z,6800,27,347800,347700,347700,313200,320600,30600,28000,OMSJ,None,12,4600,40,130000,120000,118900,815700,814400,0,0,700,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF OTROT FOR REDISPATCH ADDTL FUEL FOR WX/AND POSSIBLE ATC DEVIATIONS BTWN DBA AND FYM PER NOTAM W0572/21 EXTRA FUEL FOR EXPECTED TAXI DELAYS MEL 34-55-1 MEL 27-62-1 - APPLIED IN AERODATA CAT II LIMITED RAIM CHECK OKAY,0,6800,27,0,false,false,false,false,false,true,1800,-1800,312804,false,null,33005KT 310V010 CAVOK 34/28 Q0996 NOSIG,false
