Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Converted to Gallons,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator,Carbon
10/21/2021,10/21/2021,UPS0916,Thursday,SDF,ONT,MD11-PW,N270UP,83,83,244,244,246,224,225,14,12,16,2200,7,8,5,111200Z,6500,30,80500,80600,40300,78400,60500,54200,18300,24200,0,None,0,0,0,101000,106000,94200,443000,431200,0,0,1800,EXTRA FUEL - LIGHT AIRCRAFT CDL 49-17-12 TAKEOFF AND LANDING ACCOUNTED IN AERODATA CDL 49-17-13(APU NOT OPERATING) TAKEOFF AND LANDING ACCOUNTED IN AERODATA,0,0,0,500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,400,-400,59556,FALSE,null,null,FALSE,21.105
10/21/2021,10/21/2021,UPS0918,Thursday,SDF,ONT,B767-300W,N331UP,78,78,244,257,255,235,230,12,14,18,1000,7,8,7,131100Z,4500,33,51800,51700,25850,50700,39700,39300,11000,11400,0,None,0,0,0,90000,86000,76600,317100,307400,0,0,0,3 MINS ADDL FUEL ADDED FOR FUEL ANALYTICS,0,352,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-400,38948,FALSE,null,null,FALSE,21.105
10/19/2021,10/19/2021,UPS0916,Tuesday,SDF,ONT,B747-8F,N606UP,273,80,237,260,264,228,223,14,24,25,3600,10,8,16,115400Z,8000,30,153000,152600,76300,149000,75200,76700,74500,72300,0,None,0,0,0,110000,120000,125600,693300,699800,0,0,52900,EXTRA FUEL - FOB,0,1052,4,300,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,400,-400,75648,FALSE,null,null,FALSE,21.105
10/19/2021,10/19/2021,UPS0918,Tuesday,SDF,ONT,B767-300,N372UP,75,75,244,257,256,235,231,12,14,19,400,7,8,6,122200Z,4200,30,53000,57500,28750,57100,40700,43000,11000,14100,0,None,0,0,0,86000,88000,110200,318900,345600,0,0,0,RAIM CHECK OKAY,0,80,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,42920,FALSE,null,null,FALSE,21.105
10/20/2021,10/20/2021,UPS0916,Wednesday,SDF,ONT,MD11-PW,N296UP,83,83,244,241,242,221,220,14,12,14,1200,7,8,8,103100Z,6600,30,80200,79400,39700,78200,60200,56800,18300,21400,0,None,0,0,0,104000,105000,105000,443300,441100,0,0,1800,EXTRA FUEL - LIGHT AIRCRAFT CDL 49-17-12 TAKEOFF AND LANDING ACCOUNTED IN AERODATA CDL 49-17-13(APU NOT OPERATING) TAKEOFF AND LANDING ACCOUNTED IN AERODATA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,400,-400,60200,FALSE,null,null,FALSE,21.105
10/20/2021,10/20/2021,UPS0918,Wednesday,SDF,ONT,B767-300W,N314UP,85,85,244,256,254,234,234,12,14,10,500,7,8,10,135300Z,5400,40,51400,50900,25450,50400,38300,38900,11900,11500,0,None,0,0,0,84000,89000,97700,320300,328700,0,0,0,10 MINS ADDL FUEL FOR FUEL FOR POTENTIAL ENROUTE TURUBLENCE ... IF LOWER FLIGHT LEVEL BECOMES DESIRABLE,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,39170,FALSE,null,null,FALSE,21.105
10/21/2021,10/21/2021,UPS2908,Thursday,SDF,ONT,MD11-PW,N285UP,80,80,249,254,253,234,234,15,12,15,1800,8,8,4,230200Z,7700,35,78100,78600,39300,76800,58900,54000,17500,22800,0,None,0,0,0,103000,106000,83700,444800,422400,0,0,0,OPS LIMITING MEL: C49-17-12;C49-17-13 05 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,600,-600,56224,FALSE,null,null,FALSE,21.105
10/22/2021,10/22/2021,UPS2610,Friday,SDF,ONT,B747-8F,N627UP,86,86,241,257,255,225,234,10,24,13,1000,14,8,8,234600Z,7700,30,92100,92400,46200,91400,66400,73400,22400,18000,0,None,0,0,0,98000,98000,113600,610100,627700,0,0,2700,EXTRA FUEL DUE TO LIGHT A/C,0,5752,23,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,400,-400,67648,FALSE,null,null,FALSE,21.105
10/22/2021,10/23/2021,UPS2908,Friday,SDF,ONT,B757-200PF,N421UP,84,84,248,259,242,239,227,12,12,10,500,6,8,5,003500Z,3600,35,38900,39000,19500,38500,29200,31300,9000,7200,0,None,0,0,0,55000,60000,38500,212800,191700,0,0,400,CDL 23-61-1. ADDTL FOR ENROUTE WX. EXTRA FOR TAXI.,0,3600,35,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,27050,TRUE,null,null,FALSE,21.105
10/22/2021,10/23/2021,UPS5514,Friday,SDF,ONT,B767-300W,N359UP,85,85,244,260,259,238,241,12,14,11,400,7,8,7,010600Z,4900,40,47800,52300,26150,51900,35800,38400,10800,13500,0,None,0,0,0,58000,58000,79000,286900,312600,0,0,0,10 MINS ADDTL FOR FUEL ANALYTICS,0,500,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-400,37900,FALSE,null,null,FALSE,21.105
